Item,Job_Title,Company_Name,Location,Url
11,Dijital Proje Uzmanı | Ürün Yönetimi - IKEA Türkiye İnternet Mağazası,IKEA,"Ümraniye, Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/dijital-proje-uzman%C4%B1-%C3%BCr%C3%BCn-y%C3%B6netimi-ikea-t%C3%BCrkiye-i%CC%87nternet-ma%C4%9Fazas%C4%B1-at-ikea-4271704958?position=11&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=DQoEejvPGcPVb1sRh%2F1Rxw%3D%3D
12,"Software Engineer, Games (New Grad)",Peak,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/software-engineer-games-new-grad-at-peak-4227285827?position=12&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=g0kzWcMxIRZUAh430%2Feyjg%3D%3D
13,Backend GO Software Engineer - Turkiye,qlub,Greater Istanbul,https://tr.linkedin.com/jobs/view/backend-go-software-engineer-turkiye-at-qlub-4251785186?position=13&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=IToCLcKgyoqOMZbJXsniHA%3D%3D
14,Backend Developer,qlub,Greater Istanbul,https://tr.linkedin.com/jobs/view/backend-developer-at-qlub-4149635650?position=14&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=F7aggwb8UPvb8iipT4eHWA%3D%3D
15,Front-End Developer- Turkey,Dengage,Greater Istanbul,https://tr.linkedin.com/jobs/view/front-end-developer-turkey-at-dengage-4280071265?position=15&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=Jb9tRkyVJIDVMRo1Uoj95Q%3D%3D
16,Backend Developer,qlub,Greater Istanbul,https://tr.linkedin.com/jobs/view/backend-developer-at-qlub-4288860739?position=16&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=rIakkrX77X%2F7IWHCKgWEPQ%3D%3D
17,Software Engineer (Backend),Midas,"Istanbul, Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/software-engineer-backend-at-midas-4289224436?position=17&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=q7l7Rh61ED08wAxu0xlY2Q%3D%3D
18,Software Engineer (Part-time),Dream Games,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/software-engineer-part-time-at-dream-games-3815780752?position=18&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=DuPDgfAG8ijkttuwiGeomw%3D%3D
19,Junior Software Engineer,Good Job Games,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/junior-software-engineer-at-good-job-games-4087076341?position=19&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=6AEI6P9PwcR3wDYeu2E9OA%3D%3D
20,Backend Developer,Scorp,Türkiye,https://tr.linkedin.com/jobs/view/backend-developer-at-scorp-4264463841?position=20&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=7ITy9EYsVYRHdzw%2B%2B71aTw%3D%3D
21,Web Developer - Hybrid,Pegasus Airlines,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/web-developer-hybrid-at-pegasus-airlines-4285504459?position=21&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=4vYghTUrxIoqoCcLtDKjsg%3D%3D
22,FrontEnd Developer,Padran Information Technologies Inc.,"İzmir, İzmir, Türkiye",https://tr.linkedin.com/jobs/view/frontend-developer-at-padran-information-technologies-inc-4287972146?position=22&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=5l7%2BKswuISja4gBkdlhGog%3D%3D
23,Junior Software Engineer with Accounting Experience,Sezzle,Türkiye,https://tr.linkedin.com/jobs/view/junior-software-engineer-with-accounting-experience-at-sezzle-4278660158?position=23&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=M%2Fe%2B3tI4GPtYLrywA16KRg%3D%3D
24,Full-Stack Developer  (E-commerce),Ruby Labs,Türkiye,https://tr.linkedin.com/jobs/view/full-stack-developer-e-commerce-at-ruby-labs-4290921732?position=24&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=pDXePg5btYuDuPiy8OajFg%3D%3D
25,Full Stack Developer,Scorp,Türkiye,https://tr.linkedin.com/jobs/view/full-stack-developer-at-scorp-4264464471?position=25&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=70YA%2FJMnW0nEZANbxbnGLQ%3D%3D
26,Frontend (React) Developer (Ön Yüz Geliştirici),GİB Teknoloji,"Ankara, Türkiye",https://tr.linkedin.com/jobs/view/frontend-react-developer-%C3%B6n-y%C3%BCz-geli%C5%9Ftirici-at-gi%CC%87b-teknoloji-4259405603?position=26&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=e2NBNT%2Bv7RhNLmwPAySkQA%3D%3D
27,Yazılım Mimarı,KoçSistem,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/yaz%C4%B1l%C4%B1m-mimar%C4%B1-at-ko%C3%A7sistem-4292505512?position=27&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=Lu0IENRqIIbekz7%2FdMO9Lg%3D%3D
28,Software Engineer,Udemy,"İstanbul, Türkiye",https://tr.linkedin.com/jobs/view/software-engineer-at-udemy-4285587936?position=28&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=2TvxZkmYxKxrEI3Uxcb1gQ%3D%3D
29,Software Developer (Java),TDG Türkiye,"Istanbul, Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/software-developer-java-at-tdg-t%C3%BCrkiye-4199349659?position=29&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=LLq9lrb83UY51HIuhbFyTA%3D%3D
30,Backend Developer (Fintech),qlub,Greater Istanbul,https://tr.linkedin.com/jobs/view/backend-developer-fintech-at-qlub-4275590685?position=30&pageNum=0&refId=XowgkquCRY0uZyIwg8lJRw%3D%3D&trackingId=L9OFexSJnqGAKzb9LCRUsQ%3D%3D
